is_in_union,division_numeric_code,population_count,age_range,mid_year
Y,72,64076,15-49,1970
Y,72,65638,15-49,1971
Y,72,67074,15-49,1972
Y,72,68747,15-49,1973
Y,72,70733,15-49,1974
Y,72,73075,15-49,1975
Y,72,75760,15-49,1976
Y,72,78815,15-49,1977
Y,72,82087,15-49,1978
Y,72,85406,15-49,1979
Y,72,88680,15-49,1980
Y,72,91684,15-49,1981
Y,72,94601,15-49,1982
Y,72,97577,15-49,1983
Y,72,100801,15-49,1984
Y,72,104417,15-49,1985
Y,72,108244,15-49,1986
Y,72,112648,15-49,1987
Y,72,117447,15-49,1988
Y,72,122359,15-49,1989
Y,72,127208,15-49,1990
Y,72,131602,15-49,1991
Y,72,135709,15-49,1992
Y,72,139709,15-49,1993
Y,72,143897,15-49,1994
Y,72,148461,15-49,1995
Y,72,152674,15-49,1996
Y,72,157292,15-49,1997
Y,72,162140,15-49,1998
Y,72,166922,15-49,1999
Y,72,171475,15-49,2000
Y,72,175272,15-49,2001
Y,72,180210,15-49,2002
Y,72,185035,15-49,2003
Y,72,190035,15-49,2004
Y,72,195380,15-49,2005
Y,72,201191,15-49,2006
Y,72,207352,15-49,2007
Y,72,213683,15-49,2008
Y,72,219935,15-49,2009
Y,72,225977,15-49,2010
Y,72,231517,15-49,2011
Y,72,236560,15-49,2012
Y,72,241279,15-49,2013
Y,72,245990,15-49,2014
Y,72,250940,15-49,2015
Y,72,257298,15-49,2016
Y,72,264231,15-49,2017
Y,72,271482,15-49,2018
Y,72,278683,15-49,2019
Y,72,285599,15-49,2020
Y,72,292322,15-49,2021
Y,72,298759,15-49,2022
Y,72,304972,15-49,2023
Y,72,311062,15-49,2024
Y,72,317090,15-49,2025
Y,72,323057,15-49,2026
Y,72,328889,15-49,2027
Y,72,334644,15-49,2028
Y,72,340390,15-49,2029
Y,72,346152,15-49,2030
